<SIL>	SIL
BROTHER'S	B R AH DH ER Z
BROTHERHOOD	B R AH DH ER HH UH D
BROTHERLY	B R AH DH ER L IY
BROTHERS	B R AH DH ER Z
BROTHS	B R AO TH S
BROUGHAM	B R UW G AH M
BROUGHT	B R AO T
BROUGHTON	B R AO T AH N
BROW	B R AW
BROWBOROUGH	B R AW B ER OW
BROWED	B R AW D
BROWN	B R AW N
BROWN'S	B R AW N Z
BROWNIE	B R AW N IY
BROWNIE'S	B R AW N IY Z
BROWNING	B R AW N IH NG
BROWNISH	B R AW N IH SH
BROWNRIGG	B R AW N R IH G
BROWNRIGG'S	B R AW N R IH G Z
BROWNS	B R AW N Z
BROWS	B R AW Z
BROWSE	B R AW Z
BROWSED	B R AW Z D
BROWSES	B R AW Z IH Z
BRUGES	B R UW JH IH Z
BRUGES(2)	B R UW ZH
BRUISE	B R UW Z
BRUISED	B R UW Z D
BRUISERS	B R UW Z ER Z
BRUISES	B R UW Z AH Z
BRUISES(2)	B R UW Z IH Z
BRUISING	B R UW Z IH NG
BRUJON	B R UW JH AH N
BRUM	B R AH M
BRUMMAGEM	B R AH M AH JH AH M
BRUNETTE	B R UW N EH T
BRUNG	B R AH NG
BRUNHILDA	B R UW N HH IY L D AH
BRUNNERS	B R AH N AH R Z
BRUNSWICK	B R AH N Z W IH K
BRUNTON	B R AH N T AH N
BRUNWALDE	B R AH N W AH L D
BRUSH	B R AH SH
BRUSHED	B R AH SH T
BRUSHES	B R AH SH IH Z
BRUSHING	B R AH SH IH NG
BRUSHY	B R AH SH IY
BRUSQUE	B R AH S K
BRUSSELS	B R AH S AH L Z
BRUTAL	B R UW T AH L
BRUTALISED	B R UW T AH L IY Z D
BRUTALITY	B R UW T AE L AH T IY
BRUTALITY(2)	B R UW T AE L IH T IY
BRUTALLY	B R UW T AH L IY
BRUTE	B R UW T
BRUTE'S	B R UW TS
BRUTES	B R UW T S
BRUTISHNESS	B R UW T IH SH N AH S
BRUTUS	B R UW T AH S
BRYAN	B R AY AH N
BRYERLY	B R AY EH R L IY
BU	B UW
BUBBLE	B AH B AH L
BUBBLED	B AH B AH L D
BUBBLES	B AH B AH L Z
BUBBLING	B AH B AH L IH NG
BUBBLING(2)	B AH B L IH NG
BUBU	B Y UW B UW
BUCCA	B AH K AH
BUCCANEER	B AH K AH N IY R
BUCCANEERING	B AH K EY N AH R AH NG
BUCCANEERS	B AH K AH N IY R Z
BUCK	B AH K
BUCK'S	B AH K S
BUCKBOARD	B AH K B OW R D
BUCKER	B AH K ER
BUCKET	B AH K IH T
BUCKETFULS	B AH K AH T F AH L Z
BUCKETS	B AH K AH T S
BUCKEYE	B AH K AY
BUCKIN	B AH K IH N
BUCKINGHAM	B AH K IH NG HH AE M
BUCKINGHAM'S	B AH K IH NG HH AE M Z
BUCKINGHAMSHIRE	B AH K IH NG HH AE M SH AY ER
BUCKLE	B AH K AH L
BUCKLED	B AH K AH L D
BUCKLERS	B AH K AH L ER Z
BUCKLES	B AH K AH L Z
BUCKLING	B AH K L IH NG
BUCKSHOT	B AH K SH AA T
BUCKSTONE	B AH K S T OW N
BUCKWHEAT	B AH K W IY T
BUCKY	B AH K IY
BUD	B AH D
BUD'S	B AH D Z
BUDDHA	B UW D AH
BUDDHIST	B UW D AH S T
BUDDIN	B AH D IH N
BUDDING	B AH D IH NG
BUDGE	B AH JH
BUDS	B AH D Z
BUENAVENTURA	B Y UW AH N AH V EH N T Y AH R AH
BUFF	B AH F
BUFFALO	B AH F AH L OW
BUFFALOES	B AH F AH L OW Z
BUFFERS	B AH F ER Z
BUFFETED	B AH F EY D
BUFFETED(2)	B AH F IH T IH D
BUFFETING	B AH F EY IH NG
BUFFETING(2)	B AH F AH T IH NG
BUFFOONERIES	B AH F UW N AH R IY Z
BUFFOONERY	B AH F UW N AH R IY
BUFFOONS	B AH F UW N Z
BUG	B AH G
BUGABOO	B AH G AH B UW
BUGGY	B AH G IY
BUGLE	B Y UW G AH L
BUGLERS	B Y UW G AH L ER Z
BUGS	B AH G Z
BUILD	B IH L D
BUILDED	B IH L D IH D
BUILDER	B IH L D ER
BUILDERS	B IH L D ER Z
BUILDING	B IH L D IH NG
BUILDINGS	B IH L D IH NG Z
BUILDS	B IH L D Z
BUILT	B IH L T
BUIST	B UW IH S T
BULB	B AH L B
BULBS	B AH L B Z
BULFINCH	B UH L F IH N CH
BULGARIA	B AH L G EH R IY AH
BULGARIAN	B AH L G EH R IY AH N
BULGARIANS	B AH L G EH R IY AH N Z
BULGE	B AH L JH
BULGER	B AH L G ER
BULGING	B AH L JH IH NG
BULK	B AH L K
BULKHEAD	B AH L K HH EH D
BULKHEAD'LL	B AH L K HH EH D L
BULKS	B AH L K S
BULKY	B AH L K IY
BULL	B UH L
BULL'S	B UH L Z
BULLDOG	B UH L D AO G
BULLET	B UH L AH T
BULLETIN	B UH L IH T AH N
BULLETS	B UH L AH T S
BULLFROG	B UH L F R AO G
BULLHEAD	B UH L HH EH D
BULLIED	B UH L IY D
BULLING	B UH L IH NG
BULLION	B UH L Y AH N
BULLITS	B UH L AH T S
BULLOCK	B UH L AH K
BULLS	B UH L Z
BULLY	B UH L IY
BULLYISM	B UH L IY IH Z AH M
BULWARK	B UH L W ER K
BULWARKS	B UH L W ER K S
BUM	B AH M
BUMBLEBEE	B AH M B AH L B IY
BUMP	B AH M P
BUMPED	B AH M P T
BUMPING	B AH M P IH NG
BUMPO'S	B AH M P AH Z
BUMPS	B AH M P S
BUN	B AH N
BUNCE	B AH N S
BUNCH	B AH N CH
BUNCHES	B AH N CH AH Z
BUNCHES(2)	B AH N CH IH Z
BUNCHIE'S	B AH N CH IY Z
BUNCO	B AH NG K OW
BUNDEFJORD	B AH N D IY F IY AO R D
BUNDLE	B AH N D AH L
BUNDLED	B AH N D AH L D
BUNDLES	B AH N D AH L Z
BUNG	B AH NG
BUNGALOW	B AH NG G AH L OW
BUNGAY	B AH N G EY
BUNGLED	B AH NG G AH L D
BUNGLING	B AH NG G AH L IH NG
BUNGLING(2)	B AH NG G L IH NG
BUNIONS	B AH N Y AH N Z
BUNK	B AH NG K
BUNKER	B AH NG K ER
BUNKERS	B AH NG K ER Z
BUNKING	B AH NG K IH NG
BUNKS	B AH NG K S
BUNS	B AH N Z
BUNTING	B AH N T IH NG
BUNTLINE	B AH N T L AY N
BUNTLINE'S	B AH N T L AY N Z
BUONAPARTE'S	B Y UW AH N AH P AA R T AH Z
BUONDELMONTI	B Y UW AA N D AH L M AA N T IY
BUOY	B UW IY
BUOYANCY	B OY AH N S IY
BUOYANT	B OY AH N T
BURBERRY	B AH R B EH R IY
BURDEN	B ER D AH N
BURDENED	B ER D AH N D
BURDENS	B ER D AH N Z
BURDENSOME	B ER D AH N S AH M
BURDOCK	B AH R D AH K
BUREAU	B Y UH R OW
BUREAUCRACY	B Y UH R AA K R AH S IY
BUREAUS	B Y UH R OW Z
BURG	B ER G
BURGE'S	B ER G Z
BURGESS	B ER JH AH S
BURGHERS	B ER G ER Z
BURGLAR	B ER G L ER
BURGLARIES	B ER G L ER IY Z
BURGLARS	B ER G L ER Z
BURGLARY	B ER G L ER IY
BURGLE	B AH R G AH L
BURGLED	B AH R G AH L D
BURGOMASTERS	B ER G AH M AE S T ER Z
BURGS	B AH R G Z
BURGUNDIAN	B ER G AH N D IY AH N
BURGUNDY	B ER G AH N D IY
BURIAL	B EH R IY AH L
BURIALS	B EH R IY AH L Z
BURIED	B EH R IY D
BURLINGTON	B ER L IH NG T AH N
BURLY	B ER L IY
BURN	B ER N
BURN'S	B ER N Z
BURNED	B ER N D
BURNER	B ER N ER
BURNEY	B ER N IY
BURNHAM	B ER N AH M
BURNHAM(2)	B ER N HH AE M
BURNING	B ER N IH NG
BURNISHED	B ER N IH SH T
BURNS	B ER N Z
BURNT	B ER N T
BURR	B ER
BURRITT	B ER IH T
BURROW	B ER OW
BURROWED	B ER OW D
BURROWING	B ER OW IH NG
BURROWS	B ER OW Z
BURST	B ER S T
BURSTING	B ER S T IH NG
BURSTS	B ER S T S
BURTON	B ER T AH N
BURY	B EH R IY
BURYING	B EH R IY IH NG
BUS	B AH S
BUSH	B UH SH
BUSHEL	B UH SH AH L
BUSHELS	B UH SH AH L Z
BUSHES	B UH SH AH Z
BUSHIEST	B UH SH IY AH S T
BUSHY	B UH SH IY
BUSIED	B IH Z IY D
BUSIER	B IH Z IY ER
BUSILY	B IH Z AH L IY
BUSINESS	B IH Z N AH S
BUSINESS(2)	B IH Z N IH S
BUSKIRK'S	B AH S K ER K S
BUSTED	B AH S T IH D
BUSTER	B AH S T ER
BUSTIN	B AH S T IH N
BUSTLE	B AH S AH L
BUSTLED	B AH S AH L D
BUSTLES	B AH S AH L Z
BUSTLING	B AH S AH L IH NG
BUSTLING(2)	B AH S L IH NG
BUSTS	B AH S T S
BUSY	B IH Z IY
BUSYBODY	B IH Z IY B AA D IY
BUSYING	B IH Z IY IH NG
BUT	B AH T
BUTCHER	B UH CH ER
BUTCHER'S	B UH CH ER Z
BUTCHERED	B UH CH ER D
BUTCHERS	B UH CH ER Z
BUTCHERY	B UH CH ER IY
BUTLER	B AH T L ER
BUTLERS	B AH T L ER Z
BUTT	B AH T
BUTTE	B Y UW T
BUTTED	B AH T IH D
BUTTER	B AH T ER
BUTTERED	B AH T ER D
BUTTERFLIES	B AH T ER F L AY Z
BUTTERFLY	B AH T ER F L AY
BUTTERFLY'S	B AH T ER F L AY Z
BUTTERMILK	B AH T ER M IH L K
BUTTERNUT	B AH T ER N AH T
BUTTING	B AH T IH NG
BUTTOCKS	B AH T AH K S
BUTTON	B AH T AH N
BUTTONED	B AH T AH N D
BUTTONHOLE	B AH T AH N HH OW L
BUTTONING	B AH T AH N IH NG
BUTTONS	B AH T AH N Z
BUTTRESS	B AH T R AH S
BUTTRESSED	B AH T R AH S T
BUTTS	B AH T S
BUXOM	B AH K S AH M
BUY	B AY
BUYER	B AY ER
BUYING	B AY IH NG
BUYS	B AY Z
BUZZ	B AH Z
BUZZARD	B AH Z ER D
BUZZED	B AH Z D
BUZZER	B AH Z ER
BUZZING	B AH Z IH NG
BY	B AY
BYE	B AY
BYES	B AY Z
BYGONE	B AY G AO N
BYGONES	B AY G AO N Z
BYRD	B ER D
BYRNE	B ER N
BYRON	B AY R AH N
BYSTANDERS	B AY S T AE N D ER Z
BYWAYS	B AY W EY Z
BYWORD	B AY W ER D
C	S IY
CA	K AH
CA(2)	S IY EY
CA(3)	K AA
CAB	K AE B
CABAL	K AH B AA L
CABALLERO	K AE B AH Y EH R OW
CABALS	K AE B AH L Z
CABARET	K AE B ER EY
CABBAGE	K AE B AH JH
CABBAGE(2)	K AE B IH JH
CABBAGES	K AE B IH JH IH Z
CABIN	K AE B AH N
CABINET	K AE B AH N AH T
CABINET(2)	K AE B N AH T
CABINETS	K AE B AH N AH T S
CABINETS(2)	K AE B N AH T S
CABINS	K AE B AH N Z
CABLE	K EY B AH L
CABLES	K EY B AH L Z
CABMAN	K AE B M AE N
CABO	K AE B OW
CABO(2)	S IY EY B IY OW
CABOOSA	K AH B UW S AH
CABOOSE	K AH B UW S
CABS	K AE B Z
CABUC	K AE B AH K
CACAMBO	K AH K AE M B OW
CACCIAGUIDA	K AE K S IY AE G W AH D AH
CACHE	K AE SH
CACHE(2)	K AE SH EY
CACKLING	K AE K AH L IH NG
CACKLING(2)	K AE K L IH NG
CACTUS	K AE K T AH S
CAD	K AE D
CADAT	K AE D AH T
CADAVEROUS	K AH D AE V ER AH S
CADAVEROUSLY	K AH D AE V ER AH S L IY
CADDIS	K AE D IY Z
CADENCES	K EY D AH N S IH Z
CADEROUSSE	K AE D AH R AW S
CADET	K AH D EH T
CADIS	K EY D IY Z
CADIZ	K AH D IY Z
CADMUS	K AE D M AH S
CADOR	K EY D ER
CADRAN	K AE D R AH N
CAE	K IY
CAEN	K AE N
CAEN(2)	K AA N
CAESAR	S IY Z ER
CAESAR'S	S IY Z ER Z
CAFE	K AH F EY
CAFE(2)	K AE F EY
CAFF	K AE F
CAFFRES	K AE F AH R Z
CAGE	K EY JH
CAGES	K EY JH IH Z
CAHUSAC	K AE HH Y UW S AH K
CAIN	K EY N
CAIN'T	K EY N T
CAIRNGORM	K AE AH R N G AH R M
CAIRO	K AY R OW
CAISSON	K EY S AH N
CAISSON(2)	K EH S AH N
CAISSONS	K EY S AH N Z
CAISSONS(2)	K EH S AH N Z
CAJOLE	K AH JH OW L
CAJOLERY	K AE JH AH L EH R IY
CAKE	K EY K
CAKED	K EY K T
CAKES	K EY K S
CALABRIAN	K AH L AE B R IY AH N
CALAHORRA	K AE L AH HH AO R AH
CALAIS	K AH L EY
CALAMITIES	K AH L AE M AH T IY Z
CALAMITOUS	K AH L AE M AH T AH S
CALAMITY	K AH L AE M AH T IY
CALAMITY(2)	K AH L AE M IH T IY
CALASH	K AE L AH SH
CALCIUM	K AE L S IY AH M
CALCULATE	K AE L K Y AH L EY T
CALCULATED	K AE L K Y AH L EY T AH D
CALCULATED(2)	K AE L K Y AH L EY T IH D
CALCULATING	K AE L K Y AH L EY T IH NG
CALCULATION	K AE L K Y AH L EY SH AH N
CALCULATIONS	K AE L K Y AH L EY SH AH N Z
CALCULATORS	K AE L K Y AH L EY T ER Z
CALCULI	K AE L K Y AH L AY
CALCULUS	K AE L K Y AH L AH S
CALCUTTA	K AE L K AH T AH
CALDECOTT	K AE L D AH K AH T
CALDRON	K AE L D R AH N
CALDRONS	K AE L D R AH N Z
CALECHE	K AE L AH CH
CALENDAR	K AE L AH N D ER
CALF	K AE F
CALF'S	K AE F S
CALFUCCI	K AE L F AH K S IY
CALHOUN	K AE L HH UW N
CALHOUN'S	K AE L HH UW N Z
CALIBAN	K AE L AH B AH N
CALIBER	K AE L AH B ER
CALIBRE	K AE L AH B ER
CALICO	K AE L AH K OW
CALIDIS	K AE L AH D AH S
CALIFORNIA	K AE L AH F AO R N Y AH
CALIFORNIAN	K AE L IH F AO R N Y AH N
CALIPH	K AE L AH F
CALIPHATE	K AE L AH F AH T
CALKER	K AE K AH R
CALL	K AO L
CALL'D	K AO L D
CALLED	K AO L D
CALLER	K AO L ER
CALLERS	K AO L ER Z
CALLING	K AO L IH NG
CALLOUS	K AE L AH S
CALLOUSES	K AE L AH S IH Z
CALLOW	K AE L OW
CALLS	K AO L Z
CALLUM	K AE L AH M
CALM	K AA M
CALM(2)	K AA L M
CALMED	K AA M D
CALMED(2)	K AA L M D
CALMER	K AA M ER
CALMER(2)	K AA L M ER
CALMING	K AA M IH NG
CALMING(2)	K AA L M IH NG
CALMLY	K AA M L IY
CALMLY(2)	K AA L M L IY
CALMNESS	K AA M N AH S
CALMNESS(2)	K AA L M N AH S
CALOCHORTUS	K AE L AH CH AO R T AH S
CALORIES	K AE L AO R IY Z
CALORIFIC	K AE L AH R IH F AH K
CALOS	K AE L AH Z
CALTHORPE	K AE L TH AH R P
CALUMNIATED	K AE L AH M N IY EY T IH D
CALUMNIES	K AE L AH M N IY Z
CALUMNY	K AE L AH M N IY
CALVES	K AE V Z
CAMACHO	K AH M AA CH OW
CAMACHO'S	K AH M AA CH OW Z
CAMBRIC	K AE M B R AH K
CAMBRIDGE	K EY M B R IH JH
CAME	K EY M
CAMEL	K AE M AH L
CAMEL'S	K AE M AH L Z
CAMELS	K AE M AH L Z
CAMEO	K AE M IY OW
CAMERA	K AE M ER AH
CAMERA(2)	K AE M R AH
CAMERAS	K AE M ER AH Z
CAMERAS(2)	K AE M R AH Z
CAMERON	K AE M ER AH N
CAMEST	K AE M AH S T
CAMILLA	K AH M IH L AH
CAMOENS	K AE M OW AH N Z
CAMORRA	K AH M AO R AH
CAMOUFLAGE	K AE M AH F L AA ZH
CAMP	K AE M P
CAMP'S	K AE M P S
CAMPAIGN	K AE M P EY N
CAMPAIGNER	K AE M P EY N ER
CAMPAIGNING	K AE M P EY N IH NG
CAMPAIGNS	K AE M P EY N Z
CAMPBELL	K AE M B AH L
CAMPBELL'S	K AE M B AH L Z
CAMPBELLS	K AE M B AH L Z
CAMPBELLTOWN	K AE M P B EH L T AW N
CAMPDEN	K AE M P D EH N
CAMPEACHY	K AE M P IY CH IY
CAMPED	K AE M P T
CAMPET	K AE M P EH T
CAMPFIRE	K AE M P F AY ER
CAMPFIRES	K AE M P F AY ER Z
CAMPING	K AE M P IH NG
CAMPONGS	K AE M P AH NG Z
CAMPS	K AE M P S
CAMPSITE	K AE M P S AY T
CAMPUS	K AE M P AH S
CAN	K AE N
CAN'T	K AE N T
CAN(2)	K AH N
CANA	K AE N AH
CANAAN	K EY N AH N
CANAANITES	K AE N AH N AY T S
CANADA	K AE N AH D AH
CANADAS	K AE N AH D AH Z
CANADIAN	K AH N EY D IY AH N
CANAL	K AH N AE L
CANALS	K AH N AE L Z
CANARIES	K AH N EH R IY Z
CANARY	K AH N EH R IY
CANAVERAL	K AH N AE V ER AH L
CANAVERAL(2)	K AH N AE V R AH L
CANCEL	K AE N S AH L
CANCELLED	K AE N S AH L D
CANCER	K AE N S ER
CANDELABRA	K AE N D AH L AA B R AH
CANDIA	K AE N D IY AH
CANDID	K AE N D AH D
CANDID(2)	K AE N D IH D
CANDIDACY	K AE N D IH D AH S IY
CANDIDATE	K AE N D AH D EY T
CANDIDATE(2)	K AE N AH D IH T
CANDIDATES	K AE N D AH D EY T S
CANDIDATES(2)	K AE N AH D IH T S
CANDIDE	K AE N D AY D
CANDIDLY	K AE N D IH D L IY
CANDIED	K AE N D IY D
CANDIES	K AE N D IY Z
CANDLE	K AE N D AH L
CANDLELIGHT	K AE N D AH L L AY T
CANDLEMAS	K AE N D L AH M AH Z
CANDLES	K AE N D AH L Z
CANDLESTICK	K AE N D AH L S T IH K
CANDLESTICKS	K AE N D AH L S T IH K S
CANDOR	K AE N D ER
CANDOUR	K AE N D ER
CANDY	K AE N D IY
CANE	K EY N
CANED	K EY N D
CANES	K EY N Z
CANICAN	K AH N IH S AH N
CANINE	K EY N AY N
CANKER	K AE NG K ER
CANNED	K AE N D
CANNERIES	K AE N ER IY Z
CANNIBAL	K AE N AH B AH L
CANNIBALISM	K AE N AH B AH L IH Z AH M
CANNIBALS	K AE N AH B AH L Z
CANNON	K AE N AH N
CANNONADE	K AE N AH N EY D
CANNONADING	K AE N AH N EY D IH NG
CANNONBALL	K AE N AH N B AO L
CANNONS	K AE N AH N Z
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
CANOE	K AH N UW
CANOEIST	K AH N UW AH S T
CANOEISTS	K AH N UW IH S T S
CANOES	K AH N UW Z
CANON	K AE N AH N
CANONIZED	K AE N AH N AY Z D
CANONS	K AE N AH N Z
CANOPIED	K AE N AH P IY D
CANOPY	K AE N AH P IY
CANS	K AE N Z
CANST	K AE N S T
CANT	K AE N T
CANTAB	K AE N T AE B
CANTEEN	K AE N T IY N
CANTER	K AE N T ER
CANTERBURY	K AE N T ER B EH R IY
CANTERVILLE	K AE N T AH R V AH L
CANTILENA	K AE N T IH L AH N AH
CANTON	K AE N T AH N
CANTONMENT	K AE N T AH N M AH N T
CANVAS	K AE N V AH S
CANVASS	K AE N V AH S
CANVASSING	K AE N V AH S IH NG
CANYON	K AE N Y AH N
CANYONS	K AE N Y AH N Z
CAP	K AE P
CAP'N	K AE P N
CAPABILITIES	K EY P AH B IH L AH T IY Z
CAPABILITY	K EY P AH B IH L AH T IY
CAPABLE	K EY P AH B AH L
CAPACIOUS	K AH P EY SH AH S
CAPACITIES	K AH P AE S AH T IY Z
CAPACITIES(2)	K AH P AE S IH T IY Z
CAPACITY	K AH P AE S AH T IY
CAPACITY(2)	K AH P AE S IH T IY
CAPE	K EY P
CAPERING	K EY P ER IH NG
CAPERS	K EY P ER Z
CAPES	K EY P S
CAPGAROUPE	K AE P G AH R UW P
CAPILLARIES	K AE P AH L EH R IY Z
CAPITAL	K AE P IH T AH L
CAPITALISM	K AE P IH T AH L IH Z AH M
CAPITALIST	K AE P AH T AH L IH S T
CAPITALISTS	K AE P AH T AH L IH S T S
CAPITALLY	K AE P AH T AH L IY
CAPITALS	K AE P AH T AH L Z
CAPITALS(2)	K AE P IH T AH L Z
CAPITAN	K AE P IH T AH N
CAPITOL	K AE P IH T AH L
CAPO	K AA P OW
CAPONSACCO	K AE P AH N S AE K OW
CAPPADOCIA	K AE P AH D OW SH IY AH
CAPPADOCIAN	K AE P AH D OW SH AH N
CAPPED	K AE P T
CAPRI	K AE P R IY
CAPRI(2)	K AH P R IY
CAPRICE	K AH P R IY S
CAPRICES	K AH P R IY S AH Z
CAPRICIOUS	K AH P R IH SH AH S
CAPRICIOUSLY	K AH P R IH SH IH S L IY
CAPRICORN	K AE P R AH K AO R N
CAPRON	K AE P R AH N
CAPRON'S	K AE P R AH N Z
CAPS	K AE P S
CAPSIZE	K AE P S AY Z
CAPSIZED	K AE P S AY Z D
CAPSIZING	K AE P S AY Z IH NG
CAPSULES	K AE P S AH L Z
CAPTAIN	K AE P T AH N
CAPTAIN'S	K AE P T AH N Z
CAPTAING	K AE P T EY AH NG
CAPTAINS	K AE P T AH N Z
CAPTING	K AE P T AH NG
CAPTION	K AE P SH AH N
CAPTIOUS	K AE P SH AH S
CAPTIVATE	K AE P T IH V EY T
CAPTIVATED	K AE P T IH V EY T IH D
CAPTIVATING	K AE P T IH V EY T IH NG
CAPTIVATION	K AE P T IH V EY SH AH N
CAPTIVE	K AE P T IH V
CAPTIVES	K AE P T IH V Z
CAPTIVITY	K AE P T IH V AH T IY
CAPTOR	K AE P T ER
CAPTORS	K AE P T ER Z
CAPTURE	K AE P CH ER
CAPTURED	K AE P CH ER D
CAPTURES	K AE P CH ER Z
CAPTURING	K AE P CH ER IH NG
CAR	K AA R
CARABINE	K AE R AH B AY N
CARAPACES	K AA R AH P EY S IH Z
CARATS	K EH R AH T S
CARAVAN	K AE R AH V AE N
CARAVAN(2)	K EH R AH V AE N
CARAVANS	K AE R AH V AE N Z
CARAVANS(2)	K EH R AH V AE N Z
CARAVANSARY	K AE R AH V AE N Z EH R IY
CARAWAY	K AE R AH W EY
CARAWAY(2)	K EH R AH W EY
CARBIDE	K AA R B AY D
CARBINE	K AA R B AY N
CARBINEER	K AA R B AY N IH R
CARBINES	K AA R B AY N Z
CARBON	K AA R B AH N
CARBONATE	K AA R B AH N EY T
CARBONIFEROUS	K AA R B AH N IH F ER AH S
CARBONIZED	K AA R B AH N AY Z D
CARBUNCLES	K AA R B AH NG K AH L Z
CARCASS	K AA R K AH S
CARCASSES	K AA R K AH S IH Z
CARCHEMISH	K AA R K AH M AH SH
CARD	K AA R D
CARDBOARD	K AA R D B AO R D
CARDED	K AA R D IH D
CARDENIO	K AA R D IY N IY OW
CARDENIO'S	K AA R D IY N IY AH Z
CARDINAL	K AA R D IH N AH L
CARDINAL'S	K AA R D IH N AH L Z
CARDS	K AA R D Z
CARE	K EH R
CARED	K EH R D
CAREER	K ER IH R
CAREERING	K ER IH R IH NG
CAREFREE	K EH R F R IY
CAREFUL	K EH R F AH L
CAREFULLY	K EH R F AH L IY
CAREFULNESS	K EH R F AH L N AH S
CARELESS	K EH R L EH S
CARELESSLY	K EH R L EH S L IY
CARELESSNESS	K EH R L EH S N AH S
CARES	K EH R Z
CARESS	K ER EH S
CARESSED	K ER EH S T
CARESSES	K ER EH S IH Z
CARESSING	K ER EH S IH NG
CARESSINGLY	K AH R EH S IH NG L IY
CARETAKER	K EH R T EY K ER
CAREW	K AE R UW
CAREWORN	K EH R W OW R N
CAREY	K EH R IY
CAREYS	K EH R IY Z
CARGO	K AA R G OW
CARGOES	K AA R G OW Z
CARICATURE	K EH R IH K AH CH ER
CARICATURES	K EH R IH K AH CH ER Z
CARING	K EH R IH NG
CARLETON	K AA R L T AH N
CARLING	K AA R L IH NG
CARLING'S	K AA R L IH NG Z
CARLINI	K AA R L IY N IY
CARLINI'S	K AA R L IY N IY Z
CARLISLE	K AA R L AY L
CARLO	K AA R L OW
CARLO'S	K AA R L OW Z
CARLOS	K AA R L OW S
CARLOVINGIAN	K AA R L AH V IH N JH AH N
CARLTON	K AA R L T AH N
CARLYLE	K AA R L AY L
CARLYLE'S	K AA R L AY L Z
CARMATHON	K AA R M AE TH AO N
CARMES	K AA R M Z
CARMINE	K AA R M AY N
CARMODY	K AA R M OW D IY
CARNAGE	K AA R N IH JH
CARNAL	K AA R N AH L
CARNEGIE	K AA R N EH G IY
CARNEGIE(2)	K AA R N EY G IY
CARNERO	K AA R N AH R OW
CARNIVAL	K AA R N AH V AH L
CARNIVOROUS	K AA R N IH V ER AH S
CAROL	K AE R AH L
CAROL(2)	K EH R AH L
CAROLINA	K EH R AH L AY N AH
CAROLINAS	K EH R AH L AY N AH Z
CAROLINE	K EH R AH L AY N
CAROLINE'S	K EH R AH L AY N Z
CAROLING	K AE R AH L IH NG
CAROLLINGS	K AE R AH L IH NG Z
CAROLS	K EH R AH L Z
CAROUSALS	K AH R AW Z AH L Z
CAROUSE	K ER AW Z
CARP	K AA R P
CARPENTER	K AA R P AH N T ER
CARPENTERS	K AA R P AH N T ER Z
CARPET	K AA R P AH T
CARPETED	K AA R P AH T IH D
CARPETING	K AA R P AH T IH NG
CARPETS	K AA R P AH T S
CARRASCO	K AA R AA S K OW
CARRIAGE	K AE R IH JH
CARRIAGE(2)	K EH R AH JH
CARRIAGES	K AE R IH JH IH Z
CARRIAGES(2)	K EH R AH JH AH Z
CARRIED	K AE R IY D
CARRIED(2)	K EH R IY D
CARRIER	K AE R IY ER
CARRIER(2)	K EH R IY ER
CARRIES	K AE R IY Z
CARRIES(2)	K EH R IY Z
CARRINGTON	K EH R IH NG T AH N
CARRINGTONS	K AA R IH NG T AH N Z
CARRION	K EH R IY AH N
CARROT	K AE R AH T
CARROT(2)	K EH R AH T
CARROTS	K AE R AH T S
CARROTS(2)	K EH R AH T S
CARROZZA	K AA R OW Z AH
CARRUTHERS	K ER AH DH ER Z
CARRY	K AE R IY
CARRY(2)	K EH R IY
CARRYING	K AE R IY IH NG
CARRYING(2)	K EH R IY IH NG
CARS	K AA R Z
CARS(2)	K AA Z
CARSON	K AA R S AH N
CARSON(2)	K AA R Z AH N
CART	K AA R T
CARTED	K AA R T IH D
CARTEL	K AA R T EH L
CARTER	K AA R T ER
CARTER'S	K AA R T ER Z
CARTERET	K AA R T ER IH T
CARTERS	K AA R T ER Z
CARTHAGE	K AA R TH AH JH
CARTHAGE(2)	K AA R TH IH JH
CARTHAGENA	K AA R TH AE JH AH N AH
CARTIER	K AA R T IY ER
CARTOUCHE	K AA R T AW CH
CARTOUCHES	K AA R T AH CH IH Z
CARTRIDGE	K AA R T R AH JH
CARTRIDGE(2)	K AA R T R IH JH
CARTRIDGES	K AA R T R AH JH AH Z
CARTS	K AA R T S
CARTWHEEL	K AA R T W IY L
CARVE	K AA R V
CARVED	K AA R V D
CARVEN	K AA R V AH N
CARVING	K AA R V IH NG
CARVINGS	K AA R V IH NG Z
CARYATIDS	K EH R IY AH T AH D Z
CARYOE	K AE R AY OW
CASA	K AA S AH
CASABLANCA	K AE S AH B L AE NG K AH
CASAL	K AA S AA L
CASCADE	K AE S K EY D
CASCADING	K AE S K EY D IH NG
CASE	K EY S
CASED	K EY S T
CASEMENT	K EY S M AH N T
CASES	K EY S AH Z
CASES(2)	K EY S IH Z
CASH	K AE SH
CASHIER	K AE SH IH R
CASHIER'S	K AE SH IH R Z
CASHMERE	K AE ZH M IH R
CASIMIR	K AE S IH M IY R
CASING	K EY S IH NG
CASK	K AE S K
CASKET	K AE S K AH T
CASPAR	K AE S P ER
CASPAR(2)	K AE S P AA R
CASQUE	K AE S
CASS	K AE S
CASSANDRA	K AH S AE N D R AH
CASSIAR	K AE S IY AH R
CASSIDYS	K AE S AH D AH Z
CASSIUS	K AE S AY AH S
