<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
CONQUEST	1.0	K AA NG K W EH S T
CONQUEST'S	1.0	K AA NG K W EH S T S
CONQUESTS	1.0	K AA N K W EH S T S
CONRAD	1.0	K AA N R AE D
CONSANGUINITY	1.0	K AA N S AE N G W IH N AH T IY
CONSCIENCE	1.0	K AA N SH AH N S
CONSCIENCES	1.0	K AA N CH IH N S IH Z
CONSCIENTIOUS	1.0	K AA N SH IY EH N SH AH S
CONSCIENTIOUSLY	1.0	K AA N CH IY EH N CH AH S L IY
CONSCIOUS	1.0	K AA N SH AH S
CONSCIOUSNESS	1.0	K AA N SH AH S N AH S
CONSCRIPTED	1.0	K AH N S K R IH P T IH D
CONSCRIPTION	1.0	K AH N S K R IH P SH AH N
CONSECRATE	1.0	K AA N S AH K R EY T
CONSECRATED	1.0	K AA N S AH K R EY T AH D
CONSECRATED(2)	1.0	K AA N S AH K R EY T IH D
CONSECRATION	1.0	K AA N S AH K R EY SH AH N
CONSECUTION	1.0	K AA N S IY K Y UW SH AH N
CONSECUTIVE	1.0	K AH N S EH K Y AH T IH V
CONSECUTIVELY	1.0	K AH N S EH K Y AH T IH V L IY
CONSEIL	1.0	K AA N S AY L
CONSENT	1.0	K AH N S EH N T
CONSENTED	1.0	K AH N S EH N T IH D
CONSENTED(2)	1.0	K AH N S EH N IH D
CONSENTING	1.0	K AH N S EH N T IH NG
CONSENTING(2)	1.0	K AH N S EH N IH NG
CONSEQUENCE	1.0	K AA N S AH K W AH N S
CONSEQUENCES	1.0	K AA N S AH K W EH N S AH Z
CONSEQUENT	1.0	K AA N S AH K W AH N T
CONSEQUENTIAL	1.0	K AA N S AH K W EH N SH AH L
CONSEQUENTLY	1.0	K AA N S AH K W AH N T L IY
CONSEQUENTLY(2)	1.0	K AA N S AH K W EH N T L IY
CONSERVATION	1.0	K AA N S ER V EY SH AH N
CONSERVATIVE	1.0	K AH N S ER V AH T IH V
CONSERVATORY	1.0	K AH N S ER V AH T AO R IY
CONSERVE	1.0	K AH N S ER V
CONSIDER	1.0	K AH N S IH D ER
CONSIDERABLE	1.0	K AH N S IH D ER AH B AH L
CONSIDERABLY	1.0	K AH N S IH D ER AH B L IY
CONSIDERATE	1.0	K AH N S IH D ER AH T
CONSIDERATION	1.0	K AH N S IH D ER EY SH AH N
CONSIDERATIONS	1.0	K AH N S IH D ER EY SH AH N Z
CONSIDERED	1.0	K AH N S IH D ER D
CONSIDERING	1.0	K AH N S IH D ER IH NG
CONSIDERS	1.0	K AH N S IH D ER Z
CONSIGNED	1.0	K AH N S AY N D
CONSIST	1.0	K AH N S IH S T
CONSISTED	1.0	K AH N S IH S T AH D
CONSISTED(2)	1.0	K AH N S IH S T IH D
CONSISTENCY	1.0	K AH N S IH S T AH N S IY
CONSISTENT	1.0	K AH N S IH S T AH N T
CONSISTENTLY	1.0	K AH N S IH S T AH N T L IY
CONSISTING	1.0	K AH N S IH S T IH NG
CONSISTORY	1.0	K AH N S IH S T ER IY
CONSISTS	1.0	K AH N S IH S T S
CONSOLATION	1.0	K AA N S AH L EY SH AH N
CONSOLATIONS	1.0	K AA N S AH L EY SH AH N Z
CONSOLE	1.0	K AA N S OW L
CONSOLE(2)	1.0	K AH N S OW L
CONSOLED	1.0	K AH N S OW L D
CONSOLES	1.0	K AH N S OW L Z
CONSOLIDATED	1.0	K AH N S AA L AH D EY T AH D
CONSOLIDATING	1.0	K AH N S AA L AH D EY T IH NG
CONSOLING	1.0	K AH N S OW L IH NG
CONSORT	1.0	K AH N S AO R T
CONSORTED	1.0	K AA N S AO R T IH D
CONSPICUOUS	1.0	K AH N S P IH K Y UW AH S
CONSPIRACIES	1.0	K AH N S P IH R AH S IY Z
CONSPIRACY	1.0	K AH N S P IH R AH S IY
CONSPIRATORS	1.0	K AH N S P IH R AH T ER Z
CONSPIRE	1.0	K AH N S P AY ER
CONSPIRED	1.0	K AH N S P AY ER D
CONSPIRING	1.0	K AH N S P AY R IH NG
CONSTABLE	1.0	K AA N S T AH B AH L
CONSTABLE'S	1.0	K AA N S T AH B AH L Z
CONSTABULARY	1.0	K AH N S T AE B Y AH L EH R IY
CONSTANCE	1.0	K AA N S T AH N S
CONSTANCY	1.0	K AA N S T AH N S IY
CONSTANT	1.0	K AA N S T AH N T
CONSTANTINE	1.0	K AA N S T AH N T IY N
CONSTANTINE(2)	1.0	K AA N S T AH N T AY N
CONSTANTINOPLE	1.0	K AA N S T AE N T AH N OW P AH L
CONSTANTLY	1.0	K AA N S T AH N T L IY
CONSTELLATED	1.0	K AA N Z T EH L EY T IH D
CONSTELLATION	1.0	K AA N S T AH L EY SH AH N
CONSTERNATION	1.0	K AA N S T ER N EY SH AH N
CONSTITUENCY	1.0	K AH N S T IH CH UW AH N S IY
CONSTITUENT	1.0	K AH N S T IH CH UW AH N T
CONSTITUENTS	1.0	K AH N S T IH CH UW AH N T S
CONSTITUTE	1.0	K AA N S T AH T UW T
CONSTITUTED	1.0	K AA N S T AH T UW T AH D
CONSTITUTES	1.0	K AA N S T AH T UW T S
CONSTITUTING	1.0	K AA N S T AH T UW T IH NG
CONSTITUTION	1.0	K AA N S T AH T UW SH AH N
CONSTITUTIONAL	1.0	K AA N S T AH T UW SH AH N AH L
CONSTITUTIONALLY	1.0	K AA N S T AH T UW SH AH N AH L IY
CONSTITUTIONS	1.0	K AA N S T IH T UW SH AH N Z
CONSTRAIN	1.0	K AH N S T R EY N
CONSTRAINED	1.0	K AH N S T R EY N D
CONSTRAINETH	1.0	K AH N S T R EY N IH TH
CONSTRAINING	1.0	K AH N S T R EY N IH NG
CONSTRAINT	1.0	K AH N S T R EY N T
CONSTRUCT	1.0	K AH N S T R AH K T
CONSTRUCT(2)	1.0	K AA N S T R AH K T
CONSTRUCTED	1.0	K AH N S T R AH K T AH D
CONSTRUCTED(2)	1.0	K AH N S T R AH K T IH D
CONSTRUCTING	1.0	K AH N S T R AH K T IH NG
CONSTRUCTION	1.0	K AH N S T R AH K SH AH N
CONSTRUCTIONEM	1.0	K AA N S T R AH K T IY AH N AH M
CONSTRUCTS	1.0	K AH N S T R AH K T S
CONSTRUCTS(2)	1.0	K AA N S T R AH K T S
CONSTRUED	1.0	K AH N S T R UW D
CONSUL	1.0	K AA N S AH L
CONSULATE	1.0	K AA N S AH L AH T
CONSULT	1.0	K AH N S AH L T
CONSULTATION	1.0	K AA N S AH L T EY SH AH N
CONSULTATIONS	1.0	K AA N S AH L T EY SH AH N Z
CONSULTED	1.0	K AH N S AH L T AH D
CONSULTED(2)	1.0	K AH N S AH L T IH D
CONSULTING	1.0	K AH N S AH L T IH NG
CONSUME	1.0	K AH N S UW M
CONSUMED	1.0	K AH N S UW M D
CONSUMER	1.0	K AH N S UW M ER
CONSUMING	1.0	K AH N S UW M IH NG
CONSUMMATE	1.0	K AA N S AH M AH T
CONSUMMATE(2)	1.0	K AA N S AH M EY T
CONSUMMATELY	1.0	K AH N S AH M AH T L IY
CONSUMMATION	1.0	K AA N S AH M EY SH AH N
CONSUMPTION	1.0	K AH N S AH M P SH AH N
CONSUMPTION(2)	1.0	K AH N S AH M SH AH N
CONTACT	1.0	K AA N T AE K T
CONTADINO	1.0	K AA N T AE D AH N OW
CONTAGION	1.0	K AH N T EY JH AH N
CONTAGIOUS	1.0	K AH N T EY JH AH S
CONTAIN	1.0	K AH N T EY N
CONTAINED	1.0	K AH N T EY N D
CONTAINERS	1.0	K AH N T EY N ER Z
CONTAINING	1.0	K AH N T EY N IH NG
CONTAINS	1.0	K AH N T EY N Z
CONTAMINATION	1.0	K AH N T AE M AH N EY SH AH N
CONTE	1.0	K AO N T
CONTE(2)	1.0	K AO N T EY
CONTEMNING	1.0	K AA N T EH M AH NG
CONTEMPLATE	1.0	K AA N T AH M P L EY T
CONTEMPLATED	1.0	K AA N T AH M P L EY T IH D
CONTEMPLATING	1.0	K AA N T AH M P L EY T IH NG
CONTEMPLATION	1.0	K AA N T AH M P L EY SH AH N
CONTEMPLATIVE	1.0	K AH N T EH M P L AH T IH V
CONTEMPORANEOUSLY	1.0	K AH N T EH M P ER EY N IY AH S L IY
CONTEMPORARIES	1.0	K AH N T EH M P ER EH R IY Z
CONTEMPORARY	1.0	K AH N T EH M P ER EH R IY
CONTEMPT	1.0	K AH N T EH M P T
CONTEMPTIBLE	1.0	K AH N T EH M P T AH B AH L
CONTEMPTUOUS	1.0	K AH N T EH M P CH UW AH S
CONTEMPTUOUSLY	1.0	K AH N T EH M P CH UW AH S L IY
CONTEND	1.0	K AH N T EH N D
CONTENDED	1.0	K AH N T EH N D IH D
CONTENDING	1.0	K AH N T EH N D IH NG
CONTENT	1.0	K AA N T EH N T
CONTENT(2)	1.0	K AH N T EH N T
CONTENTED	1.0	K AH N T EH N T AH D
CONTENTED(2)	1.0	K AH N T EH N T IH D
CONTENTEDLY	1.0	K AH N T EH N T AH D L IY
CONTENTION	1.0	K AH N T EH N SH AH N
CONTENTIOUS	1.0	K AH N T EH N SH AH S
CONTENTMENT	1.0	K AH N T EH N T M AH N T
CONTENTS	1.0	K AA N T EH N T S
CONTENTS(2)	1.0	K AH N T EH N T S
CONTEST	1.0	K AA N T EH S T
CONTEST(2)	1.0	K AH N T EH S T
CONTESTANTS	1.0	K AH N T EH S T AH N T S
CONTESTATION	1.0	K AH N T EH S T EY SH AH N
CONTESTED	1.0	K AH N T EH S T AH D
CONTESTING	1.0	K AH N T EH S T IH NG
CONTESTS	1.0	K AA N T EH S T S
CONTESTS(2)	1.0	K AH N T EH S T S
CONTESTS(3)	1.0	K AA N T EH S
CONTESTS(4)	1.0	K AH N T EH S
CONTEXT	1.0	K AA N T EH K S T
CONTEXTS	1.0	K AA N T EH K S T S
CONTI	1.0	K AA N T IY
CONTIGIT	1.0	K AA N T IH JH AH T
CONTIGUOUS	1.0	K AH N T IH G Y UW AH S
CONTINENT	1.0	K AA N T AH N AH N T
CONTINENTAL	1.0	K AA N T AH N EH N T AH L
CONTINENTAL(2)	1.0	K AA N T AH N EH N AH L
CONTINENTALS	1.0	K AA N T AH N EH N T AH L Z
CONTINENTALS(2)	1.0	K AA N T AH N EH N AH L Z
CONTINENTS	1.0	K AA N T AH N AH N T S
CONTINGENCIES	1.0	K AH N T IH N JH AH N S IY Z
CONTINGENCY	1.0	K AH N T IH N JH AH N S IY
CONTINGENT	1.0	K AH N T IH N JH AH N T
CONTINU'D	1.0	K AA N T IH N AH D
CONTINUAL	1.0	K AH N T IH N Y UW AH L
CONTINUALLY	1.0	K AH N T IH N Y UW AH L IY
CONTINUALLY(2)	1.0	K AH N T IH N Y UW L IY
CONTINUANCE	1.0	K AH N T IH N Y UW AH N S
CONTINUATION	1.0	K AH N T IH N Y UW EY SH AH N
CONTINUE	1.0	K AH N T IH N Y UW
CONTINUED	1.0	K AH N T IH N Y UW D
CONTINUES	1.0	K AH N T IH N Y UW Z
CONTINUING	1.0	K AH N T IH N Y UW IH NG
CONTINUITY	1.0	K AA N T AH N UW AH T IY
CONTINUOUS	1.0	K AH N T IH N Y UW AH S
CONTORT	1.0	K AH N T AO R T
CONTORTA	1.0	K AA N T AO R T AH
CONTORTED	1.0	K AH N T AO R T AH D
CONTORTIONS	1.0	K AH N T AO R SH AH N Z
CONTOUR	1.0	K AA N T UH R
CONTOURS	1.0	K AA N T UH R Z
CONTRABAND	1.0	K AA N T R AH B AE N D
CONTRACT	1.0	K AA N T R AE K T
CONTRACT(2)	1.0	K AH N T R AE K T
CONTRACTED	1.0	K AA N T R AE K T AH D
CONTRACTILE	1.0	K AA N T R AE K T AH L
CONTRACTING	1.0	K AA N T R AE K T IH NG
CONTRACTION	1.0	K AH N T R AE K SH AH N
CONTRACTS	1.0	K AA N T R AE K T S
CONTRACTS(2)	1.0	K AH N T R AE K T S
CONTRADICT	1.0	K AA N T R AH D IH K T
CONTRADICTED	1.0	K AA N T R AH D IH K T AH D
CONTRADICTING	1.0	K AA N T R AH D IH K T IH NG
CONTRADICTION	1.0	K AA N T R AH D IH K SH AH N
CONTRADICTIONS	1.0	K AA N T R AH D IH K SH AH N Z
CONTRADICTORY	1.0	K AA N T R AH D IH K T ER IY
CONTRADICTS	1.0	K AA N T R AH D IH K T S
CONTRARIES	1.0	K AA N T R EH R IY Z
CONTRARIWISE	1.0	K AA N T R EH R IY W AY Z
CONTRARY	1.0	K AA N T R EH R IY
CONTRARY(2)	1.0	K AH N T R EH R IY
CONTRAST	1.0	K AA N T R AE S T
CONTRAST(2)	1.0	K AH N T R AE S T
CONTRASTED	1.0	K AH N T R AE S T AH D
CONTRASTING	1.0	K AH N T R AE S T IH NG
CONTRASTS	1.0	K AA N T R AE S T S
CONTRASTS(2)	1.0	K AH N T R AE S T S
CONTRAT	1.0	K AA N T R AE T
CONTRIBUTE	1.0	K AH N T R IH B Y UW T
CONTRIBUTED	1.0	K AH N T R IH B Y UW T IH D
CONTRIBUTING	1.0	K AH N T R IH B Y UW T IH NG
CONTRIBUTION	1.0	K AA N T R AH B Y UW SH AH N
CONTRIBUTIONS	1.0	K AA N T R AH B Y UW SH AH N Z
CONTRIBUTOR	1.0	K AH N T R IH B Y AH T ER
CONTRIBUTORS	1.0	K AH N T R IH B Y AH T ER Z
CONTRITION	1.0	K AH N T R IH SH AH N
CONTRIVANCE	1.0	K AH N T R AY V AH N S
CONTRIVANCES	1.0	K AH N T R AY V AH N S IH Z
CONTRIVE	1.0	K AH N T R AY V
CONTRIVED	1.0	K AH N T R AY V D
CONTRIVING	1.0	K AH N T R AY V IH NG
CONTROL	1.0	K AH N T R OW L
CONTROLLED	1.0	K AH N T R OW L D
CONTROLLER	1.0	K AH N T R OW L ER
CONTROLLER'S	1.0	K AH N T R OW L ER Z
CONTROLLERS	1.0	K AH N T R OW L ER Z
CONTROLLING	1.0	K AH N T R OW L IH NG
CONTROLS	1.0	K AH N T R OW L Z
CONTROVERSIAL	1.0	K AA N T R AH V ER SH AH L
CONTROVERSIALISTS	1.0	K AA N T R AH V ER SH AH L IH S T S
CONTROVERSIES	1.0	K AA N T R AH V ER S IY Z
CONTROVERSY	1.0	K AA N T R AH V ER S IY
CONTROVERTING	1.0	K AA N T R AH V AH R T AH NG
CONTUMACIOUS	1.0	K AH N T UW M AH S IY AH S
CONTUMACY	1.0	K AH N T UW M AH S IY
CONTUSED	1.0	K AA N T AH S T
CONTUSION	1.0	K AH N T UW ZH AH N
CONTUSIONS	1.0	K AH N T UW ZH AH N Z
CONVALESCENT	1.0	K AA N V AH L EH S AH N T
CONVALESCING	1.0	K AA N V AH L EH S IH NG
CONVENED	1.0	K AH N V IY N D
CONVENIENCE	1.0	K AH N V IY N Y AH N S
CONVENIENCES	1.0	K AH N V IY N Y AH N S IH Z
CONVENIENT	1.0	K AH N V IY N Y AH N T
CONVENIENTLY	1.0	K AH N V IY N Y AH N T L IY
CONVENT	1.0	K AA N V AH N T
CONVENT(2)	1.0	K AA N V EH N T
CONVENTICLE	1.0	K AA N V EH N T AH K AH L
CONVENTION	1.0	K AH N V EH N SH AH N
CONVENTIONAL	1.0	K AH N V EH N SH AH N AH L
CONVENTIONALISTS	1.0	K AA N V AH N CH AH N AH L IH S T S
CONVENTIONALLY	1.0	K AH N V EH N SH AH N AH L IY
CONVENTIONS	1.0	K AH N V EH N SH AH N Z
CONVENTS	1.0	K AA N V AH N T S
CONVENTS(2)	1.0	K AA N V EH N T S
CONVERGE	1.0	K AH N V ER JH
CONVERGED	1.0	K AH N V ER JH D
CONVERSATION	1.0	K AA N V ER S EY SH AH N
CONVERSATIONAL	1.0	K AA N V ER S EY SH AH N AH L
CONVERSATIONALIST	1.0	K AA N V ER S EY SH AH N AH L AH S T
CONVERSATIONALLY	1.0	K AA N V ER S EY SH AH N AH L IY
CONVERSATIONS	1.0	K AA N V ER S EY SH AH N Z
CONVERSE	1.0	K AA N V ER S
CONVERSE(2)	1.0	K AH N V ER S
CONVERSED	1.0	K AH N V ER S T
CONVERSELY	1.0	K AA N V ER S L IY
CONVERSING	1.0	K AH N V ER S IH NG
CONVERSION	1.0	K AH N V ER ZH AH N
CONVERSIONS	1.0	K AH N V ER ZH AH N Z
CONVERT	1.0	K AA N V ER T
CONVERT(2)	1.0	K AH N V ER T
CONVERTED	1.0	K AH N V ER T IH D
CONVERTING	1.0	K AH N V ER T IH NG
CONVERTS	1.0	K AA N V ER T S
CONVERTS(2)	1.0	K AH N V ER T S
CONVEY	1.0	K AH N V EY
CONVEY'D	1.0	K AH N V EY D
CONVEYANCE	1.0	K AH N V EY AH N S
CONVEYED	1.0	K AH N V EY D
CONVEYING	1.0	K AH N V EY IH NG
CONVEYS	1.0	K AH N V EY Z
CONVICT	1.0	K AA N V IH K T
CONVICT(2)	1.0	K AH N V IH K T
CONVICTED	1.0	K AH N V IH K T AH D
CONVICTION	1.0	K AH N V IH K SH AH N
CONVICTIONS	1.0	K AH N V IH K SH AH N Z
CONVICTS	1.0	K AA N V IH K T S
CONVICTS(2)	1.0	K AH N V IH K T S
CONVINCE	1.0	K AH N V IH N S
CONVINCED	1.0	K AH N V IH N S T
CONVINCING	1.0	K AH N V IH N S IH NG
CONVINCINGLY	1.0	K AH N V IH N S IH NG L IY
CONVOLUTIONS	1.0	K AA N V AH L UW SH AH N Z
CONVOY	1.0	K AA N V OY
CONVOYING	1.0	K AA N V OY IH NG
CONVOYS	1.0	K AA N V OY Z
CONVULSE	1.0	K AH N V AH L S
CONVULSED	1.0	K AH N V AH L S T
CONVULSION	1.0	K AH N V AH L SH AH N
CONVULSIONS	1.0	K AH N V AH L SH AH N Z
CONVULSIVE	1.0	K AH N V AH L S IH V
CONVULSIVELY	1.0	K AH N V AH L S IH V L IY
CONWAY	1.0	K AA N W EY
CONWAY'S	1.0	K AA N W EY Z
CONYNGHAME	1.0	K AA N Y N EY M
COO	1.0	K UW
COOK	1.0	K UH K
COOK'S	1.0	K UH K S
COOKE	1.0	K UH K
COOKED	1.0	K UH K T
COOKER	1.0	K UH K ER
COOKERS	1.0	K UH K ER Z
COOKERY	1.0	K UH K AH R IY
COOKIE	1.0	K UH K IY
COOKIES	1.0	K UH K IY Z
COOKING	1.0	K UH K IH NG
COOKS	1.0	K UH K S
COOL	1.0	K UW L
COOLED	1.0	K UW L D
COOLER	1.0	K UW L ER
COOLEST	1.0	K UW L AH S T
COOLIDGE	1.0	K UW L IH JH
COOLING	1.0	K UW L IH NG
COOLLY	1.0	K UW L IY
COOLNESS	1.0	K UW L N AH S
COOMSDALE	1.0	K OW AA M S D EY L
COON	1.0	K UW N
COON'S	1.0	K UW N Z
COONSKIN	1.0	K UW N S K IH N
COONSKIN'S	1.0	K UW N S K IH N Z
COOPER	1.0	K UW P ER
COOPER'S	1.0	K UW P ER Z
COOPERATE	1.0	K OW AA P ER EY T
COOPERATE(2)	1.0	K W AA P ER EY T
COOPERATION	1.0	K OW AA P ER EY SH AH N
COOPERATION(2)	1.0	K W AA P ER EY SH AH N
COOPERATION(3)	1.0	K W AO P ER EY SH AH N
COOPERS	1.0	K UW P ER Z
COOPS	1.0	K UW P S
COP	1.0	K AA P
COPAL	1.0	K OW P AE L
COPE	1.0	K OW P
COPIED	1.0	K AA P IY D
COPIES	1.0	K AA P IY Z
COPIOUSLY	1.0	K OW P Y AH S L IY
COPIOUSNESS	1.0	K OW P IY AH S N AH S
COPLEY	1.0	K AA P L IY
COPPER	1.0	K AA P ER
COPPERAS	1.0	K AH P EH R AH Z
COPPERS	1.0	K AA P ER Z
COPS	1.0	K AA P S
COPSE	1.0	K AH S IY
COPY	1.0	K AA P IY
COPYING	1.0	K AA P IY IH NG
COQUET	1.0	K OW K EH T
COQUETRY	1.0	K OW K EH T R IY
COQUETTE	1.0	K OW K EH T
COQUETTISH	1.0	K OW K EH T IH SH
CORA	1.0	K AO R AH
CORAL	1.0	K AO R AH L
CORANTO	1.0	K OW R AE N T OW
CORCHUELO	1.0	K AA R CH UW AH L OW
CORD	1.0	K AO R D
CORDAY	1.0	K AO R D EY
CORDIAL	1.0	K AO R JH AH L
CORDIALITY	1.0	K AO R JH AH L AH T IY
CORDIALLY	1.0	K AO R JH AH L IY
CORDIALS	1.0	K AO R JH AH L Z
CORDILLERA	1.0	K AO R D IH L IH R AH
CORDITE	1.0	K AA R D AY T
CORDON	1.0	K AO R D AH N
CORDS	1.0	K AO R D Z
CORDUROY	1.0	K AO R D ER OY
CORE	1.0	K AO R
CORELIA	1.0	K OW R AH L AY AH
CORELLI	1.0	K OW R AH L IY
CORINTHE	1.0	K OW R IH N DH
CORINTHIAN	1.0	K ER IH N TH IY AH N
CORK	1.0	K AO R K
CORKED	1.0	K AO R K T
CORKS	1.0	K AO R K S
CORLEONE	1.0	K AO R L IY OW N
CORLEONE(2)	1.0	K AO R L IY OW N IY
CORLISS	1.0	K AO R L IH S
CORMAC'S	1.0	K AO R M AH S AH Z
CORN	1.0	K AO R N
CORNEA	1.0	K AO R N IY AH
CORNED	1.0	K AO R N D
CORNEILLE	1.0	K AA R N IY L
CORNELIA	1.0	K AO R N IY L Y AH
CORNELIE	1.0	K AA R N IY L AY
CORNELISZ	1.0	K AA R N EH L AH Z
CORNELIUS	1.0	K AO R N IY L Y AH S
CORNER	1.0	K AO R N ER
CORNERED	1.0	K AO R N ER D
CORNERS	1.0	K AO R N ER Z
CORNERWISE	1.0	K AO R N ER W AY Z
CORNFIELD	1.0	K AO R N F IY L D
CORNFIELDS	1.0	K AO R N F IY L D Z
CORNICE	1.0	K AO R N AY S
CORNISH	1.0	K AO R N IH SH
CORNISHMAN	1.0	K AO R N IH SH M AE N
CORNS	1.0	K AO R N Z
CORNWALL	1.0	K AO R N W AO L
CORNY	1.0	K AO R N IY
COROLLARY	1.0	K AO R AH L EH R IY
COROLLAS	1.0	K OW R AA L AH Z
CORONA	1.0	K ER OW N AH
CORONAL	1.0	K ER OW N AH L
CORONATION	1.0	K AO R AH N EY SH AH N
CORONEL	1.0	K OW R AA N AH L
CORONEL'S	1.0	K OW R AA N AH L Z
CORONER	1.0	K AO R AH N ER
CORONER'S	1.0	K AO R AH N ER Z
CORONET	1.0	K AO R AH N EH T
CORPORAL	1.0	K AO R P ER AH L
CORPORAL'S	1.0	K AO R P ER AH L Z
CORPORAL(2)	1.0	K AO R P R AH L
CORPORATE	1.0	K AO R P ER AH T
CORPORATE(2)	1.0	K AO R P R AH T
CORPOREAL	1.0	K AO R P OW R IY AH L
CORPS	1.0	K AO R
CORPS(2)	1.0	K AO R Z
CORPSE	1.0	K AO R P S
CORPSES	1.0	K AO R P S AH Z
CORPSES(2)	1.0	K AO R P S IH Z
CORPULENT	1.0	K AO R P Y AH L AH N T
CORPUS	1.0	K AO R P AH S
CORRAL	1.0	K ER AE L
CORRALES	1.0	K ER AA L EH S
CORRALLED	1.0	K ER AE L D
CORRECT	1.0	K ER EH K T
CORRECTED	1.0	K ER EH K T AH D
CORRECTED(2)	1.0	K ER EH K T IH D
CORRECTING	1.0	K ER EH K T IH NG
CORRECTION	1.0	K ER EH K SH AH N
CORRECTIONS	1.0	K ER EH K SH AH N Z
CORRECTIVE	1.0	K ER EH K T IH V
CORRECTIVES	1.0	K AH R EH K T IH V Z
CORRECTLY	1.0	K ER EH K T L IY
CORRECTNESS	1.0	K ER EH K T N AH S
CORRELATED	1.0	K AO R AH L EY T AH D
CORRELATION	1.0	K AO R AH L EY SH AH N
CORRESPOND	1.0	K AO R AH S P AA N D
CORRESPONDED	1.0	K AO R AH S P AA N D IH D
CORRESPONDENCE	1.0	K AO R AH S P AA N D AH N S
CORRESPONDENT	1.0	K AO R AH S P AA N D AH N T
CORRESPONDENTS	1.0	K AO R AH S P AA N D AH N T S
CORRESPONDIENCE	1.0	K AO R AH S P AA N D IY AH N S
CORRESPONDING	1.0	K AO R AH S P AA N D IH NG
CORRESPONDINGLY	1.0	K AO R AH S P AA N D IH NG L IY
CORRESPONDS	1.0	K AO R AH S P AA N D Z
CORRIDOR	1.0	K AO R AH D ER
CORRIDOR(2)	1.0	K AO R IH D ER
CORRIDORS	1.0	K AO R IH D ER Z
CORRIDORS(2)	1.0	K AO R AH D ER Z
CORROBORATE	1.0	K ER AA B ER EY T
CORROBORATED	1.0	K ER AA B ER EY T IH D
CORROBORATING	1.0	K ER AA B ER EY T IH NG
CORROBORATION	1.0	K ER AO B ER EY SH AH N
CORRODED	1.0	K ER OW D IH D
CORROSIVE	1.0	K ER OW S IH V
CORRUPT	1.0	K ER AH P T
CORRUPTED	1.0	K ER AH P T IH D
CORRUPTING	1.0	K ER AH P T IH NG
CORRUPTION	1.0	K ER AH P SH AH N
CORSELETS	1.0	K AA R S EH L AH T S
CORSET	1.0	K AO R S AH T
CORSICA	1.0	K AO R S IH K AH
CORSICAN	1.0	K AO R S AH K AH N
CORSO	1.0	K AO R S OW
CORTEGE	1.0	K AO R T EH ZH
CORVO	1.0	K AO R V OW
COS	1.0	K AO S
COSETTE	1.0	K AH S EH T
COSETTE'S	1.0	K AH S EH TS
COSIEST	1.0	K OW Z IY AH S T
COSILY	1.0	K OW Z IY L IY
COSM	1.0	K AA Z AH M
COSMOPOLITAN	1.0	K AA Z M AH P AA L AH T AH N
COSMOPOLITANS	1.0	K AA Z M AH P AA L AH T AH N Z
COSMOS	1.0	K AA Z M OW S
COSSACK	1.0	K AO S AH K
COSSACK'S	1.0	K AO S AH K S
COSSACKS	1.0	K AA S AE K S
COSSONERIE	1.0	K AA S AH N IY R AY
COST	1.0	K AA S T
COST(2)	1.0	K AO S T
COSTING	1.0	K AO S T IH NG
COSTLINESS	1.0	K AO S T L IY N AH S
COSTLY	1.0	K AA S T L IY
COSTLY(2)	1.0	K AO S T L IY
COSTS	1.0	K AA S T S
COSTS(2)	1.0	K AO S T S
COSTUME	1.0	K AA S T UW M
COSTUMES	1.0	K AA S T UW M Z
COSTUMIER	1.0	K AA S T UW M IY ER
COSU	1.0	K OW S UW
COSY	1.0	K OW Z IY
COT	1.0	K AA T
COTERIE	1.0	K OW T ER IY
COTES	1.0	K OW T S
COTILLONS	1.0	K OW T IH L AO N Z
COTTAGE	1.0	K AA T AH JH
COTTAGE(2)	1.0	K AA T IH JH
COTTAGER	1.0	K AA T IH JH ER
COTTAGERS	1.0	K AA T IH JH ER Z
COTTAGES	1.0	K AA T IH JH IH Z
COTTON	1.0	K AA T AH N
COTTON(2)	1.0	K AO T AH N
COTTONWOOD	1.0	K AA T AH N W UH D
COTTONWOODS	1.0	K AA T AH N W UH D Z
COUCH	1.0	K AW CH
COUCHED	1.0	K AW CH T
COUCHES	1.0	K AW CH IH Z
COUGH	1.0	K AA F
COUGH(2)	1.0	K AO F
COUGHED	1.0	K AO F T
COUGHING	1.0	K AA F IH NG
COUGHS	1.0	K AO F S
COULD	1.0	K UH D
COULDN'T	1.0	K UH D AH N T
COULDN'T(2)	1.0	K UH D AH N
COULDNA	1.0	K OW AH L D N AH
COULSON	1.0	K AW L S AH N
COULSON'S	1.0	K AW L S AH N Z
COUN	1.0	K OW AH N
COUNCIL	1.0	K AW N S AH L
COUNCILLORS	1.0	K AW N S AH L ER Z
COUNCILS	1.0	K AW N S IH L Z
COUNSEL	1.0	K AW N S AH L
COUNSELED	1.0	K AW N S AH L D
COUNSELLED	1.0	K AW N S AH L D
COUNSELLING	1.0	K AW N S AH L IH NG
COUNSELLOR	1.0	K AW N S AH L ER
COUNSELLORS	1.0	K AW N S AH L ER Z
COUNSELOR	1.0	K AW N S AH L ER
COUNSELORS	1.0	K AW N S AH L ER Z
COUNSELS	1.0	K AW N S AH L Z
COUNT	1.0	K AW N T
COUNT'S	1.0	K AW N TS
COUNTED	1.0	K AW N T IH D
COUNTEFIT	1.0	K OW AH N T EH F AH T
COUNTENANCE	1.0	K AW N T AH N AH N S
